Date,Open,High,Low,Close,Adj Close,Volume,Stock
2017-03-22,4969.10986328125,5005.06005859375,4953.56982421875,4994.7001953125,4994.7001953125,99409000,CAC 40 Index
2017-03-23,4996.6201171875,5032.93994140625,4980.56005859375,5032.759765625,5032.759765625,89305600,CAC 40 Index
2017-03-24,5027.18994140625,5027.18994140625,5003.580078125,5020.89990234375,5020.89990234375,68967900,CAC 40 Index
2017-03-27,4975.08984375,5017.8798828125,4971.06982421875,5017.43017578125,5017.43017578125,94079200,CAC 40 Index
2017-03-28,5027.1298828125,5048.10986328125,5008.669921875,5046.2001953125,5046.2001953125,85350200,CAC 40 Index
2017-03-29,5063.7001953125,5073.22998046875,5044.419921875,5069.0400390625,5069.0400390625,86407300,CAC 40 Index
2017-03-30,5075.60986328125,5090.919921875,5063.06982421875,5089.64013671875,5089.64013671875,73882900,CAC 40 Index
2017-03-31,5077.2998046875,5122.509765625,5067.740234375,5122.509765625,5122.509765625,103369500,CAC 40 Index
2017-04-03,5130.18017578125,5132.93017578125,5083.14013671875,5085.91015625,5085.91015625,81634900,CAC 40 Index
2017-04-04,5087.60009765625,5101.1298828125,5076.35009765625,5101.1298828125,5101.1298828125,84044500,CAC 40 Index
2017-04-05,5104.7099609375,5123.77978515625,5087.68017578125,5091.85009765625,5091.85009765625,84135600,CAC 40 Index
2017-04-06,5063.6201171875,5126.740234375,5051.60986328125,5121.43994140625,5121.43994140625,88623600,CAC 40 Index
2017-04-07,5104.72998046875,5135.27978515625,5098.0498046875,5135.27978515625,5135.27978515625,84781300,CAC 40 Index
2017-04-10,5127.35986328125,5127.35986328125,5097.56005859375,5107.4501953125,5107.4501953125,70156500,CAC 40 Index
2017-04-11,5086.60986328125,5119.18017578125,5068.25,5101.85986328125,5101.85986328125,93608500,CAC 40 Index
2017-04-12,5114.5,5142.81005859375,5093.97998046875,5101.10986328125,5101.10986328125,100135100,CAC 40 Index
2017-04-13,5090.47998046875,5090.47998046875,5062.31982421875,5071.10009765625,5071.10009765625,97291600,CAC 40 Index
2017-04-18,5078.25,5080.02978515625,4990.25,4990.25,4990.25,140164900,CAC 40 Index
2017-04-19,4987.2900390625,5011.330078125,4980.41015625,5003.72998046875,5003.72998046875,112517100,CAC 40 Index
2017-04-20,4992.47021484375,5093.60009765625,4989.259765625,5077.91015625,5077.91015625,134681300,CAC 40 Index
2017-04-21,5063.35986328125,5081.60986328125,5029.06005859375,5059.2001953125,5059.2001953125,165386200,CAC 40 Index
2017-04-24,5267.8798828125,5295.47021484375,5228.5400390625,5268.85009765625,5268.85009765625,228792800,CAC 40 Index
2017-04-25,5274.35986328125,5293.39013671875,5259.6298828125,5277.8798828125,5277.8798828125,115584900,CAC 40 Index
2017-04-26,5272.85986328125,5296.52001953125,5270.31982421875,5287.8798828125,5287.8798828125,120017900,CAC 40 Index
2017-04-27,5276.97021484375,5278.9599609375,5261.72998046875,5271.7001953125,5271.7001953125,113942900,CAC 40 Index
2017-04-28,5267.66015625,5287.85009765625,5265.35986328125,5267.330078125,5267.330078125,122645300,CAC 40 Index
